,Complex,Assembly,Interactors,GO Cellular Component,GO Molecular Function,GO Biological Process,imp,AvgTurnover,SEM,Interactor_ID
18,CPX-5862,heterotrimer,Q6NZJ6,"cellular component, GO:0016281, eukaryotic translation initiation factor 4F complex","molecular function, GO:0003743, translation initiation factor activity","biological process, GO:0006413, translational initiation",before,-1.5124043124327153,0.06598284875022609,6
138,CPX-5868,heterodimer,P11679,"cellular component, GO:0045095, keratin filament",,,after,-0.3742662389871403,0.9802617758159218,1
139,CPX-5868,heterodimer,P05784,"cellular component, GO:0045095, keratin filament",,,after,-0.7647494917175707,0.0,2
152,CPX-6084,heterooctamer,Q3URS9,"cellular component, GO:0062157, mitochondrial ATP-gated potassium channel complex; cellular component, GO:0005743, mitochondrial inner membrane","molecular function, GO:0019829, ATPase-coupled cation transmembrane transporter activity; molecular function, GO:0005524, ATP binding","biological process, GO:0006884, cell volume homeostasis; biological process, GO:0140141, mitochondrial potassium ion transmembrane transport",after,-4.122787982032318,0.09396395992855866,1
153,CPX-6084,heterooctamer,Q3URS9,"cellular component, GO:0062157, mitochondrial ATP-gated potassium channel complex; cellular component, GO:0005743, mitochondrial inner membrane","molecular function, GO:0019829, ATPase-coupled cation transmembrane transporter activity; molecular function, GO:0005524, ATP binding","biological process, GO:0006884, cell volume homeostasis; biological process, GO:0140141, mitochondrial potassium ion transmembrane transport",before,-4.265649556978141,0.1081978444708978,2
154,CPX-6084,heterooctamer,Q9CXJ4,"cellular component, GO:0062157, mitochondrial ATP-gated potassium channel complex; cellular component, GO:0005743, mitochondrial inner membrane","molecular function, GO:0019829, ATPase-coupled cation transmembrane transporter activity; molecular function, GO:0005524, ATP binding","biological process, GO:0006884, cell volume homeostasis; biological process, GO:0140141, mitochondrial potassium ion transmembrane transport",after,-4.048992460657528,0.5870285735566496,3
155,CPX-6084,heterooctamer,Q9CXJ4,"cellular component, GO:0062157, mitochondrial ATP-gated potassium channel complex; cellular component, GO:0005743, mitochondrial inner membrane","molecular function, GO:0019829, ATPase-coupled cation transmembrane transporter activity; molecular function, GO:0005524, ATP binding","biological process, GO:0006884, cell volume homeostasis; biological process, GO:0140141, mitochondrial potassium ion transmembrane transport",before,-4.951680572538267,0.08731581934313949,4
102,CPX-616,heterodimer,Q9CZY3,"cellular component, GO:0035370, UBC13-UEV1A complex; cellular component, GO:0005829, cytosol","molecular function, GO:0061631, ubiquitin conjugating enzyme activity; molecular function, GO:0070530, K63-linked polyubiquitin binding","biological process, GO:1902533, positive regulation of intracellular signal transduction; biological process, GO:1902523, positive regulation of protein K63-linked ubiquitination",after,-2.77798991648895,0.11950753051662544,1
103,CPX-616,heterodimer,Q9CZY3,"cellular component, GO:0035370, UBC13-UEV1A complex; cellular component, GO:0005829, cytosol","molecular function, GO:0061631, ubiquitin conjugating enzyme activity; molecular function, GO:0070530, K63-linked polyubiquitin binding","biological process, GO:1902533, positive regulation of intracellular signal transduction; biological process, GO:1902523, positive regulation of protein K63-linked ubiquitination",before,-2.746653068208308,0.08367247314355193,2
104,CPX-616,heterodimer,P61089,"cellular component, GO:0035370, UBC13-UEV1A complex; cellular component, GO:0005829, cytosol","molecular function, GO:0061631, ubiquitin conjugating enzyme activity; molecular function, GO:0070530, K63-linked polyubiquitin binding","biological process, GO:1902533, positive regulation of intracellular signal transduction; biological process, GO:1902523, positive regulation of protein K63-linked ubiquitination",after,-3.3542510446089016,0.05201590226113865,3
105,CPX-616,heterodimer,P61089,"cellular component, GO:0035370, UBC13-UEV1A complex; cellular component, GO:0005829, cytosol","molecular function, GO:0061631, ubiquitin conjugating enzyme activity; molecular function, GO:0070530, K63-linked polyubiquitin binding","biological process, GO:1902533, positive regulation of intracellular signal transduction; biological process, GO:1902523, positive regulation of protein K63-linked ubiquitination",before,-3.322160284260452,0.06228375411628325,4
74,CPX-670,heterodimer,Q8R050,"cellular component, GO:0005737, cytoplasm; cellular component, GO:0018444, translation release factor complex","molecular function, GO:0003924, GTPase activity; molecular function, GO:0003747, translation release factor activity","biological process, GO:0006415, translational termination",after,-2.474593165334633,0.40642881867558817,1
75,CPX-670,heterodimer,Q8R050,"cellular component, GO:0005737, cytoplasm; cellular component, GO:0018444, translation release factor complex","molecular function, GO:0003924, GTPase activity; molecular function, GO:0003747, translation release factor activity","biological process, GO:0006415, translational termination",before,-2.887463817723839,0.2190012160273646,2
76,CPX-670,heterodimer,Q8BWY3,"cellular component, GO:0005737, cytoplasm; cellular component, GO:0018444, translation release factor complex","molecular function, GO:0003924, GTPase activity; molecular function, GO:0003747, translation release factor activity","biological process, GO:0006415, translational termination",after,-1.6376681440324419,0.23358196455862779,3
77,CPX-670,heterodimer,Q8BWY3,"cellular component, GO:0005737, cytoplasm; cellular component, GO:0018444, translation release factor complex","molecular function, GO:0003924, GTPase activity; molecular function, GO:0003747, translation release factor activity","biological process, GO:0006415, translational termination",before,-1.5766136458367148,0.2942916008829093,4
131,CPX-689,heterodimer,P29416,"cellular component, GO:1905379, beta-N-acetylhexosaminidase complex; cellular component, GO:0043202, lysosomal lumen","molecular function, GO:0004563, beta-N-acetylhexosaminidase activity","biological process, GO:0030203, glycosaminoglycan metabolic process",after,-2.435887816663663,0.35546526738166,1
132,CPX-689,heterodimer,P29416,"cellular component, GO:1905379, beta-N-acetylhexosaminidase complex; cellular component, GO:0043202, lysosomal lumen","molecular function, GO:0004563, beta-N-acetylhexosaminidase activity","biological process, GO:0030203, glycosaminoglycan metabolic process",before,-2.243776005943994,0.0,2
133,CPX-689,heterodimer,P20060,"cellular component, GO:1905379, beta-N-acetylhexosaminidase complex; cellular component, GO:0043202, lysosomal lumen","molecular function, GO:0004563, beta-N-acetylhexosaminidase activity","biological process, GO:0030203, glycosaminoglycan metabolic process",after,-2.18092321852908,0.5212006232953345,3
88,CPX-865,heterodimer,Q9DCW4,"cellular component, GO:0005759, mitochondrial matrix; cellular component, GO:0045251, electron transfer flavoprotein complex","molecular function, GO:0009055, electron carrier activity","biological process, GO:0009063, cellular amino acid catabolic process; biological process, GO:0033539, fatty acid beta-oxidation using acyl-CoA dehydrogenase; biological process, GO:0022904, respiratory electron transport chain",after,-4.876336448083418,0.05888853291627688,1
89,CPX-865,heterodimer,Q9DCW4,"cellular component, GO:0005759, mitochondrial matrix; cellular component, GO:0045251, electron transfer flavoprotein complex","molecular function, GO:0009055, electron carrier activity","biological process, GO:0009063, cellular amino acid catabolic process; biological process, GO:0033539, fatty acid beta-oxidation using acyl-CoA dehydrogenase; biological process, GO:0022904, respiratory electron transport chain",before,-4.886442484855343,0.05152425874123164,2
90,CPX-865,heterodimer,Q99LC5,"cellular component, GO:0005759, mitochondrial matrix; cellular component, GO:0045251, electron transfer flavoprotein complex","molecular function, GO:0009055, electron carrier activity","biological process, GO:0009063, cellular amino acid catabolic process; biological process, GO:0033539, fatty acid beta-oxidation using acyl-CoA dehydrogenase; biological process, GO:0022904, respiratory electron transport chain",after,-4.879793955423957,0.045770516968665374,3
91,CPX-865,heterodimer,Q99LC5,"cellular component, GO:0005759, mitochondrial matrix; cellular component, GO:0045251, electron transfer flavoprotein complex","molecular function, GO:0009055, electron carrier activity","biological process, GO:0009063, cellular amino acid catabolic process; biological process, GO:0033539, fatty acid beta-oxidation using acyl-CoA dehydrogenase; biological process, GO:0022904, respiratory electron transport chain",before,-4.8879675121087525,0.05062467976490047,4
92,CPX-898,heterotetramer,P08207,"cellular component, GO:0098797, plasma membrane protein complex; cellular component, GO:0005886, plasma membrane","molecular function, GO:0005544, calcium-dependent phospholipid binding; molecular function, GO:0051015, actin filament binding","biological process, GO:1905686, positive regulation of plasma membrane repair; biological process, GO:0045921, positive regulation of exocytosis; biological process, GO:0010756, positive regulation of plasminogen activation",after,-2.1574215379757664,0.45443774519758257,1
93,CPX-898,heterotetramer,P08207,"cellular component, GO:0098797, plasma membrane protein complex; cellular component, GO:0005886, plasma membrane","molecular function, GO:0005544, calcium-dependent phospholipid binding; molecular function, GO:0051015, actin filament binding","biological process, GO:1905686, positive regulation of plasma membrane repair; biological process, GO:0045921, positive regulation of exocytosis; biological process, GO:0010756, positive regulation of plasminogen activation",before,-1.5220294749437278,0.39608828451072575,2
94,CPX-898,heterotetramer,P07356,"cellular component, GO:0098797, plasma membrane protein complex; cellular component, GO:0005886, plasma membrane","molecular function, GO:0005544, calcium-dependent phospholipid binding; molecular function, GO:0051015, actin filament binding","biological process, GO:1905686, positive regulation of plasma membrane repair; biological process, GO:0045921, positive regulation of exocytosis; biological process, GO:0010756, positive regulation of plasminogen activation",after,-2.824492199469717,0.12196311903975834,3
95,CPX-898,heterotetramer,P07356,"cellular component, GO:0098797, plasma membrane protein complex; cellular component, GO:0005886, plasma membrane","molecular function, GO:0005544, calcium-dependent phospholipid binding; molecular function, GO:0051015, actin filament binding","biological process, GO:1905686, positive regulation of plasma membrane repair; biological process, GO:0045921, positive regulation of exocytosis; biological process, GO:0010756, positive regulation of plasminogen activation",before,-2.8529013115751014,0.13306094700961396,4
